"Toutes les combinaisons (D, B, h, theta) avec verdicts",,,,,,,,,,,,,,,
f = 1219 px  |  HFOV = 76.4 deg  |  VFOV = 47.8 deg  |  Bras = 43 cm,,,,,,,,,,,,,,,
D (cm),B (cm),h (cm),theta (deg),Enclos (cm),Marge bras (cm),x_near (cm),x_far (cm),Bras visible,Robot visible,DeltaZ centre (mm),DeltaZ robot (mm),B/Z centre,Err. rel. (%),Couverture (cm),VERDICT
58,8,30,38,65,15,16,119.4,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,30,40,65,15,14.7,103.9,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,42,65,15,13.4,91.8,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,44,65,15,12.2,82,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,46,65,15,11,73.9,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,48,65,15,9.8,67,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,30,50,65,15,8.7,61.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,36,65,15,19.1,153.9,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,33,38,65,15,17.6,131.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,33,40,65,15,16.2,114.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,33,42,65,15,14.8,100.9,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,44,65,15,13.4,90.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,46,65,15,12.1,81.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,48,65,15,10.8,73.8,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,33,50,65,15,9.5,67.3,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,36,65,15,20.3,163.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,38,65,15,18.7,139.3,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,40,65,15,17.2,121.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,42,65,15,15.7,107,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,35,44,65,15,14.2,95.6,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,46,65,15,12.8,86.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,48,65,15,11.4,78.2,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,35,50,65,15,10.1,71.4,OUI,OUI,0.86,3.45,1/4,0.3,91.3,OK
58,8,37,36,65,15,21.5,172.5,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,38,65,15,19.8,147.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,40,65,15,18.1,128.1,NON,OUI,0.86,3.45,1/4,0.3,91.3,
58,8,37,42,65,15,16.6,113.2,NON,OUI,0.86,3.45,1/4,0.3,91.3,
