REMPLI AUTOMATIQUEMENT par le script (donnees auto + tes reponses aux questions de fin d'essai). Garde l'Excel FERME pendant un run. Tu peux corriger une cellule JAUNE a la main. La Synthese se met a jour seule.,,,,,,,,,,,,,,,,
objet,detecteur,timestamp,position,trial,success,n_attempts,duration_s,grasp_pose_error_mm,cam2_correction_mm,last_gripper_pct,last_margin_pct,error,orientation,depose_boite,mode_echec,notes
purple_cylinder,hsv,2026-06-28T11:08:52,mi,1,0,2,50.46,3.162011289035378,8.410979668897564,36.97705802968961,31.97705802968961,,couche,non,E1,détecté trop bas
purple_cylinder,hsv,2026-06-28T11:10:59,mi,1,1,2,90.77,0.2469993933704126,14.5281507084179,9.446693657219974,4.446693657219974,,couche,oui,,objet à glisser sur la 1e tentative
purple_cylinder,hsv,2026-06-28T11:13:12,loin,1,1,1,62.41,0.2171955615668802,9.62145208119317,9.51417004048583,4.51417004048583,,debout,oui,,
purple_cylinder,hsv,2026-06-28T11:14:53,loin,1,1,1,62.99,0.2415973629056316,4.998075773441943,9.446693657219974,4.446693657219974,,couche,oui,,
purple_cylinder,hsv,2026-06-28T11:17:19,loin,1,0,0,9.81,,,,,,couche,non,E2,mauvaise stéréo
purple_cylinder,hf,2026-06-28T11:18:42,proche,1,1,2,86.12,0.3724882323430067,,9.7165991902834,4.7165991902834,,debout,oui,,"E5 sur 1e tentative, a su se remettre mieux pour réussir"
purple_cylinder,hf,2026-06-28T11:20:49,proche,1,1,2,109.93,0.1456785267804439,,9.7165991902834,4.7165991902834,,couche,oui,,a fait roulé l'objet sur 1e tentative
purple_cylinder,hf,2026-06-28T11:23:50,proche,1,1,1,59.32,0.1347072046064484,2.087593811262998,9.446693657219974,4.446693657219974,,couche,oui,,
purple_cylinder,hf,2026-06-28T11:26:44,mi,1,1,1,72.03,0.4219803373434854,7.319824873865078,9.446693657219974,4.446693657219974,,couche,oui,,
purple_cylinder,hf,2026-06-28T11:28:08,mi,1,1,1,71.19,0.3672250541777231,13.65826901629327,9.379217273954115,4.379217273954115,,couche,oui,,
purple_cylinder,hf,2026-06-28T11:30:32,mi,1,0,0,16.2,,,,,,couche,non,E2,mauvaise stéréo alors qu'atteignable
purple_cylinder,hf,2026-06-28T11:31:56,loin,1,1,1,74.89,0.2701952252398948,4.125311999068229,9.581646423751687,4.581646423751687,,debout,oui,,
purple_cylinder,hf,2026-06-28T11:33:30,loin,1,0,0,17.58,,,,,,couche,non,E2,mauvaise stéréo
purple_cylinder,hf,2026-06-28T11:34:30,loin,1,1,1,74.71,0.2857120405635803,8.575039046194668,9.379217273954115,4.379217273954115,,couche,oui,,
